year_of_stay,is_local_uni,is_poly,is_malaysian_chinese,is_msc,is_phd,was_wp,salary,is_couple,with_child,is_dpr,result
6,1,0,0,0,0,0,3000,0,0,0,1
9,0,1,0,0,0,0,3100,0,0,0,1
7,0,0,0,1,0,0,6000,1,0,0,0
10,0,0,0,0,0,0,0,0,0,1,1
5,0,0,0,1,1,0,5000,0,0,0,1
9,1,0,0,0,0,0,4800,0,0,0,1
3,0,0,1,0,0,0,2800,0,0,0,0
3,0,0,0,1,0,0,3200,0,0,0,0
8,0,0,0,1,0,0,4200,0,0,0,1
1,0,0,0,0,0,0,5000,1,0,0,0
8,0,1,0,0,0,0,3200,0,0,0,1
10,0,0,0,0,0,1,4000,0,0,0,0
2,0,0,0,0,0,0,10000,0,1,0,1
6,0,0,0,0,1,0,4200,0,0,0,1
1,0,0,0,0,0,0,5000,0,0,0,0
3,0,0,0,0,0,0,13000,1,1,0,1
7,0,0,0,0,0,0,2200,0,0,1,1
12,0,0,0,0,0,0,3500,1,1,0,1
7,0,0,0,1,0,0,11000,1,0,0,1
7,1,0,0,0,0,0,3000,0,0,0,1
13,0,1,0,0,0,0,2400,0,0,0,0
6,0,0,0,0,1,0,5100,1,1,0,1
6,0,0,0,0,,0,5000,1,0,0,0
5,0,0,1,0,0,0,2500,0,0,0,0
6,1,0,0,0,0,0,3600,0,0,0,1
5,1,0,0,0,0,0,4700,0,0,0,1
4,0,0,0,1,0,0,3500,0,0,0,0
2,0,0,0,0,0,0,8000,1,0,0,1
3,0,0,0,1,0,0,3100,0,0,0,0
5,0,0,0,1,0,0,4100,0,0,0,0
8,1,0,0,0,0,0,4000,0,0,0,1
4,0,0,0,1,0,0,4000,1,0,0,0
8,0,1,0,0,0,0,2000,0,0,0,1
3,0,0,0,1,0,0,4000,0,0,0,0
4,0,0,0,0,0,0,3000,0,0,1,0
3,0,0,0,0,0,0,3300,0,0,1,1
3,0,0,0,1,0,0,3100,0,0,0,0
5,0,0,0,1,0,0,4100,0,0,0,0
8,1,0,0,0,0,0,4000,0,0,0,1
4,0,0,0,1,0,0,4000,1,0,0,0
8,0,1,0,0,0,0,2000,0,0,0,1
3,0,0,0,1,0,0,4000,1,0,0,0
4,0,0,0,1,0,0,3000,0,0,1,1
3,0,0,0,0,0,0,3300,0,0,1,1
10,0,1,0,0,0,0,2500,0,0,0,1
5,0,0,0,0,1,0,4500,0,0,0,1
4,0,0,0,1,0,0,3800,0,0,0,0
6,0,0,0,0,0,0,4600,1,1,0,1
6,0,0,0,0,,0,5000,1,0,0,0
5,0,0,1,0,0,0,2500,0,0,0,0
6,1,0,0,0,0,0,3600,0,0,0,1
5,1,0,0,0,0,0,4700,0,0,0,1
4,0,0,0,1,0,0,3500,0,0,0,0
2,0,0,0,0,0,0,8000,1,0,0,1
3,0,0,0,1,0,0,3100,0,0,0,0
5,0,0,0,1,0,0,4100,0,0,0,0
8,1,0,0,0,0,0,4000,0,0,0,1
4,0,0,0,1,0,0,4000,1,0,0,0
8,0,1,0,0,0,0,2000,0,0,0,1
3,0,0,0,1,0,0,4000,0,0,0,0
4,0,0,0,0,0,0,3000,0,0,1,0
3,0,0,0,0,0,0,3300,0,0,1,1
8,1,0,0,0,0,0,3700,0,0,0,1
4,0,0,0,1,0,0,4000,1,0,0,0
8,0,1,0,0,0,0,2000,0,0,0,1
10,0,0,0,0,0,1,4000,0,0,0,0
2,0,0,0,0,0,0,11000,1,1,0,1
6,0,0,0,0,1,0,4200,0,0,0,1
2,0,0,0,1,0,0,5000,0,0,0,0
3,0,0,0,0,0,0,14000,1,1,0,1
7,0,0,0,0,0,0,2200,0,0,1,1
12,0,0,0,0,0,0,3500,1,1,0,1
7,0,0,0,1,0,0,10000,1,0,0,1
7,1,0,0,0,0,0,3000,0,0,0,1
13,0,1,0,0,0,0,2400,0,0,0,0
6,0,0,0,0,1,0,5000,1,1,0,1
6,0,0,0,0,,0,5300,1,0,0,0
3,0,0,0,1,0,0,4000,0,0,0,0
4,0,0,0,0,0,0,3000,0,0,1,0
3,0,0,0,0,0,0,3300,0,0,1,1
3,0,0,0,1,0,0,3100,0,0,0,0
5,0,0,0,1,0,0,4100,0,0,0,0
8,1,0,0,0,0,0,4000,0,0,0,1
4,0,0,0,1,0,0,4500,1,0,0,0
8,0,1,0,0,0,0,2000,0,0,0,1
4,0,0,0,1,0,0,4200,0,0,0,0
4,0,0,0,0,0,0,3000,0,0,1,0
3,0,0,0,0,0,0,3300,0,0,1,1
8,1,0,0,0,0,0,3900,0,0,0,1
4,0,0,0,1,0,0,4000,1,0,0,0
8,0,1,0,0,0,0,2000,0,0,0,1
3,0,0,0,1,0,0,4200,0,0,0,0
4,0,0,0,0,0,0,3000,0,0,1,0
3,0,0,0,0,0,0,3300,0,1,1,1
3,0,0,0,1,0,0,3100,0,0,0,0
5,0,0,0,1,0,0,4100,0,0,0,0
8,1,0,0,0,0,0,4000,0,0,0,1
4,0,0,0,1,0,0,4300,1,0,0,0
8,0,1,0,0,0,0,2100,0,0,0,1
3,0,0,0,1,0,0,4000,0,0,0,0
4,0,0,0,0,0,1,3000,0,0,1,0
3,0,0,0,0,0,0,3300,0,0,1,1